text	perspective_Gold	content_Gold	position_Gold	perspective_ChatGPT	content_ChatGPT	position_ChatGPT	content_LlamaChinese	position_LlamaChinese	perspective_LlamaChinese	content_Llama3	position_Llama3	perspective_Llama3
璞玉德清二人，又各写了一首。看璞玉写的道：p_s贵家使女清晨起，新施脂粉去采花，笑耍忘情云鬓乱，母命对镜看自家。p_e秀凤笑指瑞虹道：“好，好！你看，倒是个有真缘分的人呢！不然如何入大爷的诗了呢的？”	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
秀凤笑指瑞虹道：“好，好！你看，倒是个有真缘分的人呢！不然如何入大爷的诗了呢的？”再看德清写的：p_s两家姊妹一般娇，一水相隔通小桥，曾约早来相聚会，迟会泛舟施罚约。p_e众人看毕都大笑起来，遂共坐了船，命秀凤一人撑着，顺流往绿波堂钓鱼去了。这里众人在花园游玩，不在话下。	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	character
诗曰：p_s红轮当空夏日长，宫院深处绣扇轻，更衣方欲题诗时，风透窗纱墨云兴。p_e第十回论书画璞玉呈才藻诉肺腑妙鸾话语强话说璞玉听说老爷呼唤，忙起身穿了一件无骑宽抽天蓝直漏地纱衣，系一条白玉带，不及戴簪缨笠儿，遂戴了一顶凉纱便帽儿，来至外书房时，书童舒谦道：“老爷方才吩咐叫大爷便进内去了。”	narrator	scene	end	character	scene	middle	plot	beginning	character	commentary	beginning	narrator
四人狂奔乱窜的跑到介寿堂过道时，已是水流中庭，淋得落汤鸡一般了。遂各自归房更衣，不提。即此一雨，赋诗一首记之，诗曰：p_s雷鸣长空雨骤敛，一轮红日色更鲜。采虹低垂青天外，浮云半绕碧山颠。玉人依楼斜阳里，悲鸟飞鸣层林间。窃思世间万种事，如云变色一瞬间。p_e次日，雨止云霁，商飙徐起，暑气为之一扫，凉爽了好些。	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
看那书时，是一卷《乐府俊语》，也不细看，走到几前坐在炉梅常坐的铺着红锦绣花坐褥的椅子上，随手弄那笔架、纸铜等小巧精细的器具，忽见砚下露着一个方胜角儿，忙打开看时，原来是一首诗，道：p_s红栏深锁草木静，新花初绽玉蝶轻，芳气未袭蝶梦去，巧蝶恋花何多情。p_e璞玉看毕，点头自忖：“细想这诗，多是为我而作，看去虽是咏红花的，其实深寓芳心，此乃天予之良机，何不谬和一首。”	character	scene	middle	character	scene	middle	commentary	end	character	commentary	middle	character
璞玉看毕，点头自忖：“细想这诗，多是为我而作，看去虽是咏红花的，其实深寓芳心，此乃天予之良机，何不谬和一首。”想毕，遂援笔续道：p_s只因轻蝶欠花债，更见巧语情意多，愿借春风合前缘，红栏新花勿违蝶。p_e写毕将诗叠好，藏在袖内，悄悄起身过去，一手掀起纱帐，一手推炉梅肩道：“姐姐醒来！”	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
炉梅一人合目而卧，又过了半个更次，忽听远远有人哭泣，忙抬头听时，却是翠玉鼻息之声，复又躺下，思量起自己身世，孤苦一人，母老父亡，想到其间，不觉又伤心起来。不意府院墙外，远处村鸡又高唱起来了。正是：p_s清秋思君夜，寒风透窗隙。疏竹叶落时，愁人睡也未？p_e一日，值金夫人生辰，夫人清晨起来，便往炉如阁上了香，又到介寿堂磕了头，领了好些赏赐，回到逸安堂来，吃毕长寿面，才受了府内上下众人拜贺。	narrator	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
诗曰：p_s春风香沁百花酿，采蝶飞趁发饰旁，欲逞少兴秋千戏，又恐诮我发苍苍。p_e第十四回热中寓寒参禅景喜间生悲叹月诗话说白老寡用象牙箸紧夹着肉丸子，欲使其不动，但因两个都是滑溜溜的东西，肉丸子忽然失脱，掉下来了，白老寡慌了道：“你成了龙了不成！”说着赶上去伸手去拿，熙清笑道：“违了令了，快将这七杯酒送给白妈妈去。”	narrator	scene	end	character	character portraiture	middle	plot	middle	character	commentary	middle	narrator
看毕，方欲月旦时，宫喜的“送月”诗亦成，送了过来。秀凤看时：p_s花色桂香露欲滴，枫叶柳丝如浸水，西窗梦觉竹影去，淡光隔帘犹以追。p_e秀凤笑道：“写迎送不用西东二字就没别的字了？”说毕，又看熙清的“喜月”诗：云霁辄见天女容，宝晶新妆胸襟清，草木花石皆知惠，俏姿芳影分外明。秀凤摇头道：“二姑娘因素昔不在这上头用心，终究有些不同。”	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
又入一层到炉梅卧房中，劈面看见对门挂的那一幅米襄阳《云雨图》，暗房中看去越发在山岩之上，如有凄风冷雨。俟进前，猛抬头见上面有几行字，是新写的一首诗。璞玉知是炉梅归时所作。忙看时：p_s恍惚梦中度几秋，年年重阳风雨愁，但觉今年重阳日，心头悲怆多一俦。p_e璞玉不见此诗还罢了，这一念不打紧，心中一动，鼻子一酸，泪如雨下，哭了起来。想他“心头悲怆多一俦”，只看这个“怆”字，便可知其千曲万转之悲，乘肠寸断之苦了。	character	character portraiture	middle	character	character portraiture	middle	commentary	end	character	commentary	middle	character
欲知来者是谁，且看下回分解。诗曰：p_s天厌儿女情思深，未得相证前后心。伤心诗客同千古，双泪洒向竹树林。p_e第十六回喜新遇琴上诉心情下荒庄灯下定计谋	narrator	commentary	end	character	character portraiture	middle	commentary	middle	character	commentary	end	narrator
诗曰：p_s弱人性情弱花枝，色色聪睿色色禽。凄雨情泪红犹润，满怀春愁墨不干。p_e第十八回怜贫填词璞玉脱险风雪联句琴默雅谑	narrator	scene	end	character	character portraiture	middle	plot	beginning	character	commentary	beginning	narrator
一时到那花前看时，真个多半都开了，如与寒风争势，芳艳正盛。有古人咏雪中梅花诗道：p_s争春花雪不相揖，爱玩诗客论短长，玉花逊雪三分白，融雪让花一缕香。p_e璞玉见此艳芳不忍离去，只管徘徊顾盼起来，直把鹦哥、子规冻得面色都变了，催促璞玉道：“大爷你自己穿了好几层皮衣，不知人家冷，折了去便罢了，这冷风里只管站着做甚么？”	narrator	scene	middle	character	scene	middle	plot	beginning	character	commentary	middle	narrator
诗曰：p_s芳艳群花各自谢，诸色丽雀四散飞，东寺晨钟一声响，唤我醒转痴梦里。p_e第二十回松月轩独琴律自和教谕斋双玉声相抵	narrator	scene	end	character	scene	middle	commentary	middle	character	commentary	end	narrator
一日，正值仲春下浣，垂柳茏烟，百草吐芽，燕子归来，雁飞唳天，春风吹透帘窗，炉姑娘染病闷坐，正是：p_s仙女缘业原似梦，情侣爱欲终是虚，桃花流水依旧在，刘阮复往路已非。p_e触景生悲，柔肠寸断，心下思量道：“纵使自古红颜薄命，如我这般孤苦悲愁者能有几何？自幼丧父，更无兄弟，老母念及孤女之来日，携我弱质曾涉远途。	narrator	commentary	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
且说那脾性乖张的司田人，自山居以来，十分合了心愿，伐青茅以缮檐，买新牛以耕田，独饮自酿之酒，供客簏中之果，藤萝架上，多藏趣史，桑楷篱中，栽种野花，如此安闲度日。一日闲居无事，忽然诗兴大发，随手写了两首诗，道：渔钓之便p_s不着蓑衣不驶舟，常倚西窗握钓钩，遨游仙客捧酒来，抛饵提杆肥鱼出。p_e灌溉之便小园辟在绿水洲，菜蔬宜长果易收，睡起闲暇无他事，但傍溪水学灌输。写毕，放了笔，方欲吟哦，只见身穿青衣头戴红缨帽的两个人，从外边径进来了。	character	character portraiture	middle	character	scene	middle	commentary	middle	character	character portraiture	middle	character
且说那脾性乖张的司田人，自山居以来，十分合了心愿，伐青茅以缮檐，买新牛以耕田，独饮自酿之酒，供客簏中之果，藤萝架上，多藏趣史，桑楷篱中，栽种野花，如此安闲度日。一日闲居无事，忽然诗兴大发，随手写了两首诗，道：渔钓之便不着蓑衣不驶舟，常倚西窗握钓钩，遨游仙客捧酒来，抛饵提杆肥鱼出。灌溉之便p_s小园辟在绿水洲，菜蔬宜长果易收，睡起闲暇无他事，但傍溪水学灌输。p_e写毕，放了笔，方欲吟哦，只见身穿青衣头戴红缨帽的两个人，从外边径进来了。	character	scene	middle	character	character portraiture	middle	plot	middle	character	character portraiture	middle	character
诗曰：p_s鸱鸮何须妒鸾鹦，本是恍惚梦一场，脱却缠绵温柔罟，洗心自隐白云乡。p_e第二十三回展才制赋七巧图寻根究底九连环	narrator	commentary	end	character	commentary	end	commentary	beginning	narrator	commentary	end	narrator
临溪窗前琴声悠扬，茂花丛中赋诗吟词，元气复又恢复出来。一夜在灯下多饮了几杯，吃得面红耳热，趁着酒力，故癖复痒，遂濡笔摊纸，续其前诗，又题了两首，道：汲水之便p_s山宅古井半墙隔，竹管引水一条河，败具烹茶款良友，泉水芳香烈味多。p_e写完这一首诗，但闻狺狺犬吠不止，田人全不理，点水濡墨，拭目剪烛，又写一首，道：	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
写完这一首诗，但闻狺狺犬吠不止，田人全不理，点水濡墨，拭目剪烛，又写一首，道：洗涤之便p_s洗襟不消绕渠行，门内潺湲分外清，幽怀本非殊好洁，滚泉相催净我胸。p_e田人方写成二诗，未及放笔，忽见一群人，各持火把，齐声大喊，冲破院门打进来了。	character	scene	middle	character	commentary	middle	commentary	middle	character	commentary	middle	character
璞玉循其所指，往山坡而来。忽又听有人自山后鼓掌唱着走过来，璞玉止步听去，原来是二人和声齐唱道：p_s绿叶荫荫兮久不落，吾侪相逢兮永不离，含我梨桔兮味实美，念我生母兮心何恰！p_e慢慢唱着出来，忽然见了璞玉，大笑不止。璞玉看时原来是圣姑娘的丫头凤梅，熙清的丫头子规两个，因也笑道：“你们姑娘们在那里？”二人摇头道：“我们不知道，今日清早姑娘们原是叫我们随意玩耍的，所以我们没到跟前去。”	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	narrator
我自回到家来，也曾写了几首记述冷清的诗，且把他誊在一处，以备其问。想毕，遂向书套、针线匣内寻那诗稿。从花样本中得了一首，乃是春和景明时写的：p_s垂柳吐芽深闭门，鸟迁高枝啼断魂，往日多少伤怀事，柳丝鸟鸣牵出心。p_e又从笔筒内得了一首春色即事诗，云：暮雨细细不入寐，晨鸟唧唧催人起，昨夜梦中多少事，对镜饰发是犹非。又从首饰抽屉内得了一首，也是春色即事诗云：草色初绿蝶初飞，忍疾花园行徘徊，南风不吹我愁去，啼鸟却使肺腑靡。这几首诗都是炉湘妃病势转重前所作，所以乱放在各处。那日收敛起来，恭书在一叠花笺上，但因三首不偶，亲手磨墨，又写了一首，道：画角晚钟何须急，独怕黄昏又黄昏，怃然欲睡睡不得，半是离愁半恨心。湘妃写毕，自己念了几遍，不免又落了几点泪。又怕画眉来劝，病身终是虚弱，身上已发起颤来，因叠了诗，方欲靠枕睡时，画眉忙走了过来，手里拿着扇子慢慢的扇着。	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	character
　彼时，众人都挪到当中桌子旁边来，等可人月旦。独炉湘妃折下一枝菊花，插在瓶中，放在面前，写“供菊”一题，见了他二人眼睛，看着福寿笑了一笑。只见可人前，摆着红笔朱砚，先看璞玉的诗：怀菊润翰公子p_s独倚东篱思故友，哀吟凄凉增新愁。此心郁郁无人问，斜生弯枝知也无？凉秋已临我何急，盛时既去汝太羞。艳色秀容今何在？曼立香迹犹楚楚。p_e可人看罢，笑道：“璞公此诗，可谓怀之入骨髓矣，真古今之绝唱也。”	character	scene	middle	character	character portraiture	middle	commentary	beginning	narrator	commentary	middle	character
只见敞着一扇门，方欲进内，忽听房中一个人独自低吟，璞玉止步听时，道：p_s栖桐双雀齐长成，缘尽一雀飞远程，失伴孤雀只一个，长夜悲啼无人应。p_e璞玉听声音，料道是熙清，忙走入去道：“妹妹如何说‘无人应’，不是还有我吗？”熙清忙起身道：“哥哥你看德姐姐留的歌儿。人见了如何能忍？”	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
你写的未必是寻乐的甚么方便诗，倒是惹苦恼的不便之兆呢。”司田人听了大怒，喝道：“饶嘴婆子，你知道甚么，敢来败我作诗雅兴！”遂提笔写道：苏樵之便p_s养奴秋时不使闲，扫叶抬桠穿林间，卷诗出检樵夫事，篱门开处到山边。p_e不更之便贫苦人家稀疏村，流水崖前常掩门，去彼独木断夜路，凭高居险睡自稳。写方未了，只见穿皂农、戴红缨帽儿的两个人昂然入来。田人见了心中狐疑，忙问：“你们是做甚么的？何事径入我家？”那二人道：“县里派我们，为请先生往贲府来的。”	character	character portraiture	middle	character	character portraiture	middle	plot	middle	narrator	commentary	middle	narrator
你写的未必是寻乐的甚么方便诗，倒是惹苦恼的不便之兆呢。”司田人听了大怒，喝道：“饶嘴婆子，你知道甚么，敢来败我作诗雅兴！”遂提笔写道：苏樵之便养奴秋时不使闲，扫叶抬桠穿林间，卷诗出检樵夫事，篱门开处到山边。不更之便 p_s贫苦人家稀疏村，流水崖前常掩门，去彼独木断夜路，凭高居险睡自稳。p_e写方未了，只见穿皂农、戴红缨帽儿的两个人昂然入来。田人见了心中狐疑，忙问：“你们是做甚么的？何事径入我家？”那二人道：“县里派我们，为请先生往贲府来的。”	character	scene	middle	character	plot	middle	plot	middle	narrator	commentary	middle	narrator
你写的未必是寻乐的甚么方便诗，倒是惹苦恼的不便之兆呢。”司田人听了大怒，喝道：“饶嘴婆子，你知道甚么，敢来败我作诗雅兴！”遂提笔写道：苏樵之便养奴秋时不使闲，扫叶抬桠穿林间，卷诗出检樵夫事，篱门开处到山边。不更之便p_s贫苦人家稀疏村，流水崖前常掩门，去彼独木断夜路，凭高居险睡自稳。p_e写方未了，只见穿皂农、戴红缨帽儿的两个人昂然入来。田人见了心中狐疑，忙问：“你们是做甚么的？何事径入我家？”那二人道：“县里派我们，为请先生往贲府来的。”	character	commentary	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	narrator
璞玉听了，正中其心，见众僧已散出，遂将自幼多逢良缘，却终如宿鸟归林，各自飞散；结发之妻，虽具三从四德，不幸又复夭别之故，一一说了一遍。问良缘如何这般多，恶败又如何这般快呢？云谷禅师听毕，合目祷告，至一炷香将尽时，方出定，先念四句偈道：p_s欲知前生之姻缘，须看今世之所受，欲知后世之根由，须查今世之事业。“p_e呜呼檀越！贫僧方才细究你等数人之事，机缘非浅，此皆因无量劫前，在清净之乡，动了淫念之故。而来历转数世，为痴男怨女，非但姻缘不凑，更受诺般苦楚矣。	character	commentary	end	narrator	commentary	middle	commentary	middle	narrator	commentary	middle	narrator
写毕，自是慧剑斩断了伤心索，身着儒士衣，胸怀修行心，不数年间，心性迥然两人矣。看官！至此设有意不尽，请看下续《泣红亭》。诗曰：p_s虚话三十篇，泪光照心弦，痴语人每笑，惆怅有谁怜。p_e	narrator	commentary	beginning	character	commentary	middle	commentary	middle	character	commentary	end	narrator
诗曰：p_s得失微茫莫强优，况从秘密创权谋。功名纵夺乾坤巧，富贵还贻孙子忧。大物每教明似镜，至公何取曲如钩。将军猿臂夸三捷，终向东陵讳故侯。p_e凡人一饮一酌，莫非前定，没有可强求得来的道理。纵有因求而得，也是他精神坚定，福力应之，就是不去求，也应该得。所以道“前定”二字，冷淡了许多觊觎的念头，销磨了许多爆燥的手脚。世人每因求而冀得，因得而妄求，直到后来收煞不住时节，方始叹悔，这也迟了。	narrator	commentary	middle	narrator	commentary	middle	commentary	middle	narrator	commentary	middle	narrator
鹏子道：“劝你放心。这科包管决中，赔也赔得你一个举人。若还不中，不但无颜见你，也无面目再见那些亲族朋友了。”王氏道：“但愿如是，就当拜谢天地。”这正是：p_s只谓才不如己，争道巧不犹人。指望一朝腾霄汉，谁知穷鬼不离身。p_e却说同学内有一个秀才，姓丁名全，字协公，其人也是世家。乃父累官至工部侍郎，宦途颇顺，广积官资。	narrator	commentary	middle	character	character portraiture	middle	plot	middle	character	commentary	beginning	narrator
莫说丁协公是个富贵公子，他日日要见教的；就是徐鹏子一个穷公孙，他看他考得利肚里又通，也时常虚卖弄，三两日来鬼混一场去。总不如那丁公子与他贴心贴意，分外相投，一刻也离他不得的。这正是：p_s嫖赌场中篾片，文章社内法喜。虽然牌挂假斯文，不如尊绰白日鬼。p_e却说丁协公看了那条字儿，委决不下，踌躇了一夜，次日侵早，着人去请了白日鬼来。周白日道：“昨日有些小事，不曾会你，场期已迫，看你的气色好的紧，今科定要高发的。请问呼唤何事见教？”	narrator	commentary	middle	character	character portraiture	middle	commentary	middle	narrator	commentary	beginning	narrator
此时身子已似软瘫了的，眼泪不好淌出来，只往肚子里撺，靠着那榜篷柱子，失了魂的一般，痴痴迷迷。到得看榜人渐渐稀了，自家也觉得不好意思，只得转头闷闷而归。那一路来一步做了两步，好不难行。正是：p_s败北将军失节妇，刺字强徒赃罪官。低头羞见故乡面，举子落第更应难。p_e那个丁协公榜发高中了，报子流水来报。大锭细丝打发了报子，实时装束了去赴宴。次日忙忙拜房师，谢大主考，家中贺客填门，热闹不过。真正是锦上添花，富贵无赛。	narrator	commentary	middle	character	commentary	middle	plot	end	narrator	commentary	middle	narrator
徐鹏子见不是对头，只得往里一面走，一面指着骂道：“不要忙，我把你这伙无赖光棍，明日送到县里，才见分晓！”这些人见他进去，还敲门打壁，骂得个无休歇方才退去。正是：p_s烦恼若不横相寻，何由白发鬓边新？凭君闭门家里坐，难避含沙射影人！p_e徐鹏子忿忿的道：“这等可恶！待我写个呈子，把他送到县里去，重处他一番。”王氏道：“你又心事不遂，替他做甚恶。慢慢地找寻丫头出来，再去塞他的嘴罢！”	narrator	commentary	middle	character	commentary	middle	plot	middle	character	commentary	middle	narrator
那些家人都道是徐家在南京告了状，着人拿他们，一个个东奔西窜躲得大小无踪。凭这些差人将行李抄了，单交付和尚候官来起赃，先将丁协公锁着押到御史衙门去了。这正是：p_s假病原来尽足羞，轻狂终是孽风流。浑金璞玉真无价，凤凰虽哑胜鸺饄。p_e却说丁协公这场屈辱，都是他轻狂样状招惹出来，所以大人君子真正有学问的，断不如是，这些差人带着，一路来人问他，只说是假举人骗人的，那里还细说姓金姓丁？	narrator	commentary	middle	character	commentary	middle	plot	middle	narrator	commentary	middle	narrator
丁协公道：“这光景甚是欠雅，也不必惊动那老儿罢。簇新举人受恁场屈气，莫不是前程有些蹭蹬？这个兆头不妙。也再无颜在南京城中摇摆，快回去收拾起行，过了会试，再作道理。”来得道：“这也说的是。”正是：p_s自扫门前雪，休贪上溯船。未来休错过，已去莫留连。p_e即日打贴行李，过了扬子江，到浦口写了轿马，一行人往北进发。只有丁协公心下总是不快，道：“我止料是徐鹏子来报复，若果是他，受这场屈辱，也不为过。怎么无端无影，受这些人诬陷？这等看将起来，进士是不可不中的。我这进京，凭你钻天过海，设法谋中一个进士，免得受人摧折，再来报复这口气不迟。”	narrator	scene	middle	character	commentary	middle	plot	middle	narrator	commentary	middle	narrator
那徐鹏子从睡梦中惊醒，看见火势及身，连忙跳将起来，抓了几件衣服，直条条走到岸上，穿着起来。只见火借风威，越发大了。p_s不是赤壁鏖兵，岂是河龙烧锁。波心上下通红，疑是燃犀照鬼。p_e徐鹏子在岸上，只是捶胸顿足而已。况粮船又重滞，急切不能开动，只救得人上岸就勾了还想去捞救那米？到得次日，那运官递了失呈地方官就拘了他候旨。	narrator	commentary	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
须臾，只见道士回来道：“好，好，好！大爷书房正少这样人，我对老爷说过，老爷道：『既是南蛮子，不要他磕头也罢。』叫我快快的领你去。”徐鹏子正在叫天不应，叫地不明之时，也顾不得许多，只得跟着道士走。正是：p_s阮生易堕穷途泪，季布当年髡作奴。试看卫、霍封侯日，暂屈终伸是丈夫。p_e又有一旧诗单疑其事，有云：煮字难充续命烟，陵阳石里泪难鎸。可怜俯项甘佣保，空读《离骚》学问天。当日领见了卢翰林，徐鹏子只得站立一旁。翰林见他生得清雅，心下甚喜。	narrator	commentary	middle	character	character portraiture	middle	commentary	middle	narrator	commentary	middle	narrator
徐鹏子正在叫天不应，叫地不明之时，也顾不得许多，只得跟着道士走。正是：阮生易堕穷途泪，季布当年髡作奴。试看卫、霍封侯日，暂屈终伸是丈夫。又有一旧诗单疑其事，有云：p_s煮字难充续命烟，陵阳石里泪难鎸。可怜俯项甘佣保，空读《离骚》学问天。p_e当日领见了卢翰林，徐鹏子只得站立一旁。翰林见他生得清雅，心下甚喜。问他姓名，他就以字作名，应道：“小的叫做徐鹏。”	narrator	commentary	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	narrator
飞鸿见不是知音，只得爬了起来拾了那包对象藏在袖里道：“恁呆忘八羔子！送你的东西不要。”才出去了。这正是：p_s坐怀不乱柳下惠，见物不取杨四知。流水落花消息杳，清天明月显心期。p_e却说那一日按院到了，要观风。学中领了题目，送来与卢公子做，又是徐鹏子代做了去。	narrator	commentary	middle	character	scene	middle	commentary	beginning	narrator	commentary	middle	narrator
那徐鹏子也感激翰林知遇，时常将南边风气派头，极力诱掖公子。公子受了这番耻辱，也用心揣摩。不一两月，公子果然文章骤进，不是训谎了。这正是：p_s鸢肩火色偶飘蓬，昨日侪奴抗衤乇翁。不是一番寒透骨，居然千里骋追风。p_e却说徐鹏子离家之后，倭寇作乱，浙江一带地方，并无宁宇。经过地方，鼠逃鸦散；未经过的地方，鹤唳风声。大小男妇，东边的走到西边，西边又走到东边。	narrator	commentary	middle	character	commentary	middle	plot	middle	narrator	commentary	middle	narrator
王氏此时冰冷水浇背，一般，才悔道是自家错了，不宜轻易出门。见婆子话甚是有理“我如今没奈何，只得拼却跟他前去，看他怎样好歹，这一江水，是我结果之场了。”暗自流泪不了。这恰是：p_s人情险似太行山，何地羲皇任闭关。一日风波惊十二，岂徒出外片时难。p_e却说这些人只有李麻子心里难捱，道：“这雌儿弄不到手，明是一块天鹅肉，忍得到只反吊馋了人。我若是再去麻缠他，恐怕学前番模样，乱起来，不成体面；若丢着不去理他，心下又不肯服气。”	narrator	commentary	middle	character	plot	middle	commentary	middle	character	commentary	middle	narrator
那刑部关会了吏部，讨了大计的考语来，加他个不合入贿谋复的罪。又拗不过萧掌科做了硬对，问了个沈阳卫的军，候旨下不题。正是：p_s凭他羽翼冲天去，若个奸雄好到头。不见曹瞒疑冢在，几回玉碗去荒丘。p_e却说徐鹏子在卢翰林家读书，与公子交相琢磨。那公子到底是有根气的，就也虚心耐受，学业果比往日大进，时常送文字与翰林看。	narrator	commentary	middle	narrator	scene	middle	commentary	middle	character	commentary	middle	narrator
徐鹏子才请卢公子相见了，大家悲感不胜，就将鹏子那乘大轿与王氏坐了，他另雇了一乘轿子，一同进京。恰是：p_s今夜灯前照，犹疑梦里身。不受苦中苦，怎为人上人。p_e这王氏到这苦难时节，与死为邻，不想遇了丈夫，又是遇了富贵的丈夫，不似前番酸丁了。虽然是王氏贞一之报，却也还是徐鹏子不淫滥之报。	narrator	commentary	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
到晚送到衙门口传点进来道：“长班送春樱来，并领身价。”鹏子随备了十二两身价，付了长班，即唤春樱进衙。春樱一见了家主、主母，跪在地上，哭得个不起。正是：p_s团圆今夜三生话，鸡犬犹衔百世恩。莫道令威重到日，徒将城郭怆归魂。p_e徐鹏子问道：“我有甚亏负你你就走了？几陷我于死地！”春樱道：“这是婢子该死。其中却有个缘故。”夫人王氏道：“甚缘故，你慢慢儿说来。	narrator	commentary	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
鹏子道：“我如今这样，他如今那样。我虽然流离颠沛，还有见天日时节；别人参了他，恰好撞在我手里结局，这就也是个报应了。”说犹未了，传禀进来，说科里萧爷请赴席。鹏子实时出来，到萧衙去。正是：p_s平日杀人都市中，争道相逢不相识。凄凄不似向时声，满座闻之皆掩泣。p_e却说徐鹏子来赴席，就问萧掌科：“老先生尊召，同座还有甚人？”萧掌科道：“学生特设奉敬，并无陪宾。席间还有一事相商。”鹏子道：“这样怎敢当？”	narrator	commentary	middle	character	commentary	middle	commentary	beginning	narrator	commentary	middle	narrator
鹏子道：“原来如此。恐怕世人受此累者不少。”萧掌科道：“据老先生说有所闻见，亦祈赐教！”鹏子便含糊答应道：“学生也是这等说，未必指丁全一人。”萧掌科道：“只是求老先生速些，至嘱！至嘱！”又吃了几杯，方才告别。正是：p_s佛说大慈悲，众生多水火。凭君唱阐提，千劫大因果。杀人街市中，不复知有我。妮妮杯酒前，泪落如珠颗。闻见咸心伤，杀之皆曰可。堪叹读书人，无知受其祸。p_e徐鹏子吃酒回来，对王夫人道：“原来丁全作孽，不止我这一宗所以今日得此重报。”王夫人道：“他又做出甚事来？”	narrator	commentary	middle	character	commentary	end	commentary	middle	narrator	commentary	middle	narrator
众人感其恩义，只得一五一十的都替他清赔了。鹏子问了他个杂犯，仍代他偿了去，白白的赶了出京。这正是：p_s冤冤相报几时休，到得回头把债收。汉武秦皇遗迹处，年年风雨泣长楸。p_e却说那丁协公既定了罪，只不见刑部发放，心下想道：“冤家路窄，单单网落他手里，这回耽搁了这许多日子，莫不是加些楔子，还要入我个重罪哩。”	narrator	commentary	beginning	character	commentary	middle	plot	middle	narrator	commentary	middle	narrator
第二卷轻财色真强盗说法　出生死大义侠传心 诗曰：p_s莫道山人感慨深，乾坤何事肯幽暗。要离侠冢徒荒草，郭况才名为穴金。谁道千秋无正史，只缘三天有傍侵。凝眸细问当年事，大盗何曾在绿林。p_e这－旨诗似无指实，不过感慨寄意，借此发挥那愤懑的意思。细看将来，却又似有所指一般，在下的抛了时名，日逐三餐淡饭，闲中不妨替他敲推一番何如。	narrator	commentary	beginning	narrator	commentary	middle	plot	middle	character	commentary	middle	narrator
卷二　一回 一文钱活逼英雄　三杯酒随身缧绁 诗曰：p_s三百六十宫，秀才穷到底。睛雨共晨昏，几本烂书纸。骄语少宾朋，闭户独妻子。商贾手无钱，朱门不相喜。有足胡敢扬，有心不副齿。他人饱欲扬，我饥僵且死。一朝富贵来，车马如流水。寄言白眼生，忽将两目视。p_e话说天顺年间，江西南昌府新建县，一个秀才，姓时名升，表字大来。祖父都是儒家出身，娶个浑家万氏。那时，大来虽然饱学，屡次考优等，却家业淡薄。	narrator	commentary	middle	character	character portraiture	middle	commentary	beginning	narrator	commentary	beginning	narrator
若是有时，莫说一文钱，就多些也还了也。”又一个道：“你既是相公，行路该斯文些，为甚打碎娃娃家碗，难道你也是个娃娃不成。”这正是：p_s凭君豪气三千丈，腰里时钱一个无。多少世间牛马辈，膳缠金缯字模糊p_e那孩子扯住，死也不放，要赔油赔碗。这些看的人，又七嘴八舌的，弄得个时大来，真不得假不得，若有个地洞，也钻将去。	narrator	commentary	middle	narrator	commentary	middle	plot	end	narrator	commentary	middle	narrator
这封物件敲在桌子上，还当当的响，我想世上有多少高人侠士，多分就是此辈了。可惜，去得太促，不曾与他多盘桓刻把。他把桌上的吃个净光，方才理那封东西下楼来了。正是：p_s有焯千里能相会，谁似当年运束通。今日对君须尽醉，莫随野乌骂喜风。p_e却说时大来的妻子，在家束着肚带子等着；那里望得个踪影儿回来。直到下午，只见把门一推，时大来红了个脸，笑嘻嘻的走进来。	narrator	commentary	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	narrator
那时大来偶然遇他，遂动他一点救贫之念，也不知是祸是福。时大来次日，又摸了两件衣服。穿着起来。竟不象个失馆的先生了。有句诗道得好：p_s世人好相皮，衣服宜珍直。西施被菅臬，无盐返葬送。被褐而怀玉，谁人知孔孟。春能富贵天，花鸟增妍笑。p_e所以衣着这件物，极是抬举人的。俗语云：狗不咬君子。难道那狗是通过慧的，他遇着衣服鲜华的，就不肯吠他，却似妙在势利上走的一般。	narrator	commentary	end	character	character portraiture	middle	plot	beginning	narrator	commentary	middle	narrator
